word_id,word,pinyin,video_url,sort_order,category
00000472_2,仓促,cāngcù,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000472.mp4,88,common
00000263_2,册,cè,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000263.mp4,89,common
00000360_1,测验,cèyàn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000360.mp4,90,common
00000083_1,曾经,céngjīng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000083.mp4,91,common
00000479_0,茶,chá,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000479.mp4,92,common
00000479_3,茶叶①,cháyè,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000479.mp4,93,common
00000313_0,差不多,chà·buduō,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000313.mp4,94,common
00000609_0,馋,chán,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000609.mp4,95,common
00000441_1,阐明,chǎnmíng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000441.mp4,96,common
'00000373,长,cháng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000373.mp4,97,common
'00001526,长城,Chángchéng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001526.mp4,98,common
'00002990,长江,Chángjiāng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00002990.mp4,99,common
00000385_1,场合,chǎnghé,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000385.mp4,100,common
00000585_0,唱歌,chànggē,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000585.mp4,101,common
00000597_1,超过,chāoguò,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000597.mp4,102,common
'00000698,超市,chāoshì,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000698.mp4,103,common
00000597_2,超越①,chāoyuè,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000597.mp4,104,common
00000668_0,吵架,chǎojià,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000668.mp4,105,common
00000275_2,成功②,chénggōng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000275.mp4,106,common
00000716_0,成果,chéngguŏ,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000716.mp4,107,common
00000619_0,成绩,chéngjì,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000619.mp4,108,common
00001160_0,诚实,chéngshí,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001160.mp4,109,common
00000415_1,城市,chéngshì,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000415.mp4,110,common
00000034_0,吃,chī,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000034.mp4,111,common
00000374_2,吃药,chīyào,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000374.mp4,112,common
00001068_1,驰名,chímíng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001068.mp4,113,common
